,nama_barang,harga
0,Beli iphone 11 pro max xs samsung galaxy note 20 s20 plus ultra fold 2,17000000
1,iPhone 6s 128gb,2150000
2,Iphone SE Mode potret 64 gb,7999000
3,Apple iPhone 11 256GB,15499000
4,iPhone 6s 128gb,2200000
5,IPhone 6S Plus 16 Gb Minus finger ma kesing gk mlus yg laen mntp bs tt,2299999
6,Iphone 7 jet black 128gb garansi,3500000
7,Iphone 8 plus 256 gb hp dan cas ex inter,6750000
8,IPHONE 5S MURMER,920000
9,softcase aero / mychoice / bumper mika u Iphone XR,30000
10,Iphone 6s 64 gb,2350000
11,Apple Iphone 6s Plus 16gb Grey bisa Tt,2875000
12,IPHONE 7+  256 gb,4100000
13,"Jual iphone 7+32 warna jetblack new inter, imei  aman",6500000
14,Jasa bypass iPhone lock iCloud,100000
15,for sale iphone 5s 32gb grey mulus fullsett,1200000
16,Iphone 7+ 128G RedEdition,4500000
17,Iphone x BH 90% New Mulusss 64Gb Tt xs Max xr 8+ 7 Plus 6s 11 pro,8300000
18,Iphone XR 64 DUAL SIM,8000000
19,For Sale Guys iPhone 7+ 256GB iNter ZP/A Mantap Kuy Di Mahar Aja,4450000
